season,week,team_name,opponent,result,team_score,opponent_score,is_bye,is_playoff
2019,8,PokerA9,angry cat,Loss,88.58,96.38,false,
2019,8,OBJYN,Going Streaking,Win,136.84,108.30,false,
2019,8,Going Streaking,OBJYN,Loss,108.30,136.84,false,
2019,8,Gonna Get a TD,Whiskey DITKA,Win,144.98,82.36,false,
2019,8,Whiskey DITKA,Gonna Get a TD,Loss,82.36,144.98,false,
2019,9,Baker Aker FTW,Whiskey DITKA,Loss,69.00,110.74,false,
2019,9,Whiskey DITKA,Baker Aker FTW,Win,110.74,69.00,false,
2019,9,Good Times,Going Streaking,Win,132.34,96.50,false,
2019,9,Going Streaking,Good Times,Loss,96.50,132.34,false,
2019,9,Eric's Team,PokerA9,Loss,79.44,151.42,false,
2019,9,PokerA9,Eric's Team,Win,151.42,79.44,false,
2019,9,angry cat,Gonna Get a TD,Loss,103.86,140.64,false,
2019,9,Gonna Get a TD,angry cat,Win,140.64,103.86,false,
2019,9,OBJYN,Al's Team,Loss,117.56,137.72,false,
2019,9,Al's Team,OBJYN,Win,137.72,117.56,false,
2019,10,Baker Aker FTW,Going Streaking,Loss,82.52,121.20,false,
2019,10,Going Streaking,Baker Aker FTW,Win,121.20,82.52,false,
2019,10,Good Times,OBJYN,Win,123.36,108.62,false,
2019,10,OBJYN,Good Times,Loss,108.62,123.36,false,
2019,10,Eric's Team,angry cat,Loss,118.18,144.08,false,
2019,10,angry cat,Eric's Team,Win,144.08,118.18,false,
2019,10,Gonna Get a TD,PokerA9,Win,128.04,119.18,false,
2019,10,PokerA9,Gonna Get a TD,Loss,119.18,128.04,false,
2019,10,Whiskey DITKA,Al's Team,Loss,93.34,137.32,false,
2019,10,Al's Team,Whiskey DITKA,Win,137.32,93.34,false,
2019,11,Baker Aker FTW,Eric's Team,Loss,115.66,132.02,false,
2019,11,Eric's Team,Baker Aker FTW,Win,132.02,115.66,false,
2019,11,Good Times,Al's Team,Loss,91.54,127.18,false,
2019,11,Al's Team,Good Times,Win,127.18,91.54,false,
2019,11,angry cat,Whiskey DITKA,Win,100.46,83.26,false,
2019,11,Whiskey DITKA,angry cat,Loss,83.26,100.46,false,
2019,11,OBJYN,PokerA9,Win,117.40,75.48,false,
2019,11,PokerA9,OBJYN,Loss,75.48,117.40,false,
2019,11,Gonna Get a TD,Going Streaking,Loss,104.20,117.64,false,
2019,11,Going Streaking,Gonna Get a TD,Win,117.64,104.20,false,
2019,12,Baker Aker FTW,Good Times,Loss,82.18,85.94,false,
2019,12,Good Times,Baker Aker FTW,Win,85.94,82.18,false,
2019,12,Eric's Team,OBJYN,Loss,100.14,153.64,false,
2019,12,OBJYN,Eric's Team,Win,153.64,100.14,false,
2019,12,angry cat,Going Streaking,Loss,71.78,122.40,false,
2019,12,Going Streaking,angry cat,Win,122.40,71.78,false,
2019,12,Gonna Get a TD,Al's Team,Loss,110.78,153.66,false,
2019,12,Al's Team,Gonna Get a TD,Win,153.66,110.78,false,
2019,12,Whiskey DITKA,PokerA9,Win,99.92,61.00,false,
2019,12,PokerA9,Whiskey DITKA,Loss,61.00,99.92,false,
2019,13,Baker Aker FTW,angry cat,Loss,62.80,114.10,false,
2019,13,angry cat,Baker Aker FTW,Win,114.10,62.80,false,
2019,13,Good Times,Gonna Get a TD,Loss,103.38,107.64,false,
2019,13,Gonna Get a TD,Good Times,Win,107.64,103.38,false,
2019,13,Eric's Team,Al's Team,Win,126.74,91.50,false,
2019,13,Al's Team,Eric's Team,Loss,91.50,126.74,false,
2019,13,OBJYN,Whiskey DITKA,Loss,85.02,124.76,false,
2019,13,Whiskey DITKA,OBJYN,Win,124.76,85.02,false,
2019,13,Going Streaking,PokerA9,Win,139.24,93.30,false,
2019,13,PokerA9,Going Streaking,Loss,93.30,139.24,false,
2019,14,Good Times,Al's Team,Win,131.12,95.60,false,
2019,14,Al's Team,Good Times,Loss,95.60,131.12,false,
2019,14,OBJYN,Going Streaking,Loss,123.52,135.58,false,
2019,14,Going Streaking,OBJYN,Win,135.58,123.52,false,
2019,15,Good Times,Gonna Get a TD,Win,131.46,101.60,false,
2019,15,Gonna Get a TD,Good Times,Loss,101.60,131.46,false,
2019,15,Going Streaking,Whiskey DITKA,Win,123.66,84.82,false,
2019,15,Whiskey DITKA,Going Streaking,Loss,84.82,123.66,false,
2019,15,Baker Aker FTW,PokerA9,Win,87.80,73.56,false,
2019,15,PokerA9,Baker Aker FTW,Loss,73.56,87.80,false,
2019,15,Eric's Team,angry cat,Loss,100.32,133.48,false,
2019,15,angry cat,Eric's Team,Win,133.48,100.32,false,
2019,15,OBJYN,Al's Team,Loss,138.98,154.38,false,
2019,15,Al's Team,OBJYN,Win,154.38,138.98,false,
2019,16,Good Times,Going Streaking,Win,115.36,106.48,false,
2019,16,Going Streaking,Good Times,Loss,106.48,115.36,false,
2019,16,Baker Aker FTW,angry cat,Win,99.42,90.60,false,
2019,16,angry cat,Baker Aker FTW,Loss,90.60,99.42,false,
2019,16,Eric's Team,PokerA9,Win,139.64,123.32,false,
2019,16,PokerA9,Eric's Team,Loss,123.32,139.64,false,
2019,16,Gonna Get a TD,Whiskey DITKA,Win,93.24,77.36,false,
2019,16,Whiskey DITKA,Gonna Get a TD,Loss,77.36,93.24,false,
2020,1,Drafted 3 Defenses🤦‍♂️,Eric's Team,Loss,106.92,124.70,false,
2020,1,Eric's Team,Drafted 3 Defenses🤦‍♂️,Win,124.70,106.92,false,
2020,1,Good Times,Big Al,Loss,125.38,129.80,false,
2020,1,Big Al,Good Times,Win,129.80,125.38,false,
2020,1,angry cat,Gonna Get a TD,Loss,96.04,112.34,false,
2020,1,Gonna Get a TD,angry cat,Win,112.34,96.04,false,
2020,1,11 Bar Blues,Going Streaking,Loss,109.42,161.96,false,
2020,1,Going Streaking,11 Bar Blues,Win,161.96,109.42,false,
2020,1,Whiskey DITKA,PokerA9,Loss,106.52,136.98,false,
2020,1,PokerA9,Whiskey DITKA,Win,136.98,106.52,false,
2020,2,Drafted 3 Defenses🤦‍♂️,11 Bar Blues,Loss,126.06,146.54,false,
2020,2,11 Bar Blues,Drafted 3 Defenses🤦‍♂️,Win,146.54,126.06,false,
2020,2,Good Times,PokerA9,Win,116.80,111.72,false,
2020,2,PokerA9,Good Times,Loss,111.72,116.80,false,
2020,2,Eric's Team,Big Al,Loss,99.60,116.56,false,
2020,2,Big Al,Eric's Team,Win,116.56,99.60,false,
2020,2,angry cat,Going Streaking,Win,154.80,139.18,false,
2020,2,Going Streaking,angry cat,Loss,139.18,154.80,false,
2020,2,Gonna Get a TD,Whiskey DITKA,Win,143.58,109.30,false,
2020,2,Whiskey DITKA,Gonna Get a TD,Loss,109.30,143.58,false,
2020,3,Drafted 3 Defenses🤦‍♂️,Going Streaking,Loss,84.24,146.08,false,
2020,3,Going Streaking,Drafted 3 Defenses🤦‍♂️,Win,146.08,84.24,false,
2020,3,Good Times,Whiskey DITKA,Win,152.64,123.16,false,
2020,3,Whiskey DITKA,Good Times,Loss,123.16,152.64,false,
2020,3,Eric's Team,Gonna Get a TD,Loss,102.32,160.40,false,
2020,3,Gonna Get a TD,Eric's Team,Win,160.40,102.32,false,
2020,3,angry cat,PokerA9,Loss,139.18,142.80,false,
2020,3,PokerA9,angry cat,Win,142.80,139.18,false,
2020,3,11 Bar Blues,Big Al,Loss,85.08,109.88,false,
2020,3,Big Al,11 Bar Blues,Win,109.88,85.08,false,
2020,4,Drafted 3 Defenses🤦‍♂️,Big Al,Loss,101.40,142.72,false,
2020,4,Big Al,Drafted 3 Defenses🤦‍♂️,Win,142.72,101.40,false,
2020,4,Good Times,angry cat,Loss,122.42,144.98,false,
2020,4,angry cat,Good Times,Win,144.98,122.42,false,
2020,4,Eric's Team,Going Streaking,Loss,108.08,136.76,false,
2020,4,Going Streaking,Eric's Team,Win,136.76,108.08,false,
2020,4,11 Bar Blues,Whiskey DITKA,Loss,72.70,111.80,false,
2020,4,Whiskey DITKA,11 Bar Blues,Win,111.80,72.70,false,
